x, y
-0.0018598726114649683, 0.05508082191780822
-0.0007592356687898092, 0.054535273972602744
-0.00007133757961783407, 0.05417157534246575
0.000448407643312102, 0.05370684931506849
0.0009070063694267515, 0.05328253424657534
0.0011974522292993632, 0.05295924657534247
0.0018394904458598725, 0.05213082191780822
0.002527388535031847, 0.051322602739726025
0.0030929936305732486, 0.05045376712328767
0.0035057324840764327, 0.04964554794520548
0.0039949044585987255, 0.048776712328767124
0.004422929936305732, 0.048029109589041094
0.004942675159235669, 0.04720068493150685
0.005202547770700637, 0.04635205479452055
0.0054471337579617835, 0.04560445205479452
0.005921019108280254, 0.044776027397260276
0.00633375796178344, 0.044008219178082196
0.006608917197452229, 0.0432
