x, y
-0.0007420147420147422, 0.054430615640599006
-0.00003439803439803449, 0.05407720465890183
0.0004963144963144959, 0.05362562396006656
0.0009090909090909089, 0.053272212978369385
0.001248157248157248, 0.05285990016638935
0.0018968058968058966, 0.052094176372712145
0.002545454545454545, 0.05126955074875208
0.003105651105651105, 0.05046455906821964
0.0034889434889434886, 0.04969883527454243
0.003960687960687961, 0.04887420965058237
0.004373464373464373, 0.048049584026622294
0.004963144963144962, 0.04724459234608985
0.005228501228501228, 0.04647886855241265
0.00544963144963145, 0.04563460898502496
0.005936117936117936, 0.04482961730449252
0.006348894348894348, 0.04400499168053245
0.00657002457002457, 0.043180366056572383
